artist_name,artist_id,genres
Taylor Swift,06HL4z0CvFAxyc27GXpf02,[]
Chris Stapleton,4YLtscXsxbVgi031ovDDdh,['country']
Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,"['melodic rap', 'emo rap']"
Playboi Carti,699OTQXzgjhIYAHMy9RyPD,['rage rap']
The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,[]
Adrianne Lenker,4aKWmkWAKviFlyvHYPTNQY,[]
21 Savage,1URnnhqYAYcrqrcwql10ft,[]
King Von,6QtgPSJPSzcnn7dPZ4VINp,['drill']
Steve Lacy,57vWImR43h4CaDao012Ofp,[]
Conan Gray,4Uc8Dsxct0oMqx0P6i60ea,[]
Bad Bunny,4q3ewBCX7sLwd24euuV69X,"['reggaeton', 'trap latino', 'urbano latino', 'latin']"
Polo G,6AgTAQt8XS6jRWi4sX7w49,[]
Drake,3TVXtAsR1Inumwj472S9r4,"['rap', 'hip hop']"
Brent Faiyaz,3tlXnStJ1fFhdScmQeLpuG,['r&b']
Tame Impala,5INjqkS1o8h1imAzPqGZBb,"['indie', 'psychedelic pop']"
Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,['melodic rap']
Lil Baby,5f7VJjfbwm532GiveGC0ZK,[]
Don Toliver,4Gso3d4CscCijv0lmajZWs,[]
Glass Animals,4yvcSjfu4PC0CYQyLy4wSq,[]
Mac Miller,4LLpKhyESsyAXpc4laK94U,[]
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,"['dark trap', 'emo rap', 'horrorcore', 'punk rap', 'cloud rap', 'underground hip hop']"
Pop Smoke,0eDvMgVFoNV3TpwtrVCoTj,"['brooklyn drill', 'drill', 'new york drill']"
Gracie Abrams,4tuJ0bMpJh08umKkEXKUI5,[]
Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,['pop']
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,['pop']
GIVĒON,4fxd5Ee7UefO4CUXgwJ7IP,['r&b']
Phoebe Bridgers,1r1uxoy19fzMxunt3ONAkG,[]
Zach Bryan,40ZNYROS4zLfyyBSs2PGe2,"['country', 'red dirt']"
The Strokes,0epOFNiUfyON9EYx7Tpr6V,"['garage rock', 'indie rock', 'alternative rock']"
Bryson Tiller,2EMAnMvWE2eb56ToJVfCWs,['r&b']
